Dataset,Variation,File,Metric,Value
auto_mpg,base,auto_mpg_1000_original.csv,MAE,1.9320113097565084
auto_mpg,base,auto_mpg_1000_original.csv,MSE,7.236581969145683
auto_mpg,base,auto_mpg_5000_original.csv,MAE,1.9320113097565084
auto_mpg,base,auto_mpg_5000_original.csv,MSE,7.236581969145683
auto_mpg,gaussian,auto_mpg_1000_gaussian_0.2.csv,MAE,2.1080658199534614
auto_mpg,gaussian,auto_mpg_1000_gaussian_0.2.csv,MSE,8.359304744354505
auto_mpg,gaussian,auto_mpg_1000_gaussian_0.1.csv,MAE,1.9696262620740004
auto_mpg,gaussian,auto_mpg_1000_gaussian_0.1.csv,MSE,7.571642564873881
auto_mpg,gaussian,auto_mpg_5000_gaussian_0.2.csv,MAE,1.9669394693820252
auto_mpg,gaussian,auto_mpg_5000_gaussian_0.2.csv,MSE,7.884263957858993
auto_mpg,gaussian,auto_mpg_5000_gaussian_0.1.csv,MAE,2.0383072907998234
auto_mpg,gaussian,auto_mpg_5000_gaussian_0.1.csv,MSE,7.954519854831344
auto_mpg,gaussian,auto_mpg_1000_gaussian_0.05.csv,MAE,1.9715564246594772
auto_mpg,gaussian,auto_mpg_1000_gaussian_0.05.csv,MSE,7.4599240183887465
auto_mpg,gaussian,auto_mpg_10000_gaussian_0.1.csv,MAE,1.9625456182938095
auto_mpg,gaussian,auto_mpg_10000_gaussian_0.1.csv,MSE,7.245360412493735
auto_mpg,gaussian,auto_mpg_10000_gaussian_0.2.csv,MAE,1.957228557509606
auto_mpg,gaussian,auto_mpg_10000_gaussian_0.2.csv,MSE,6.682572277086734
auto_mpg,gaussian,auto_mpg_5000_gaussian_0.05.csv,MAE,1.7746285607333467
auto_mpg,gaussian,auto_mpg_5000_gaussian_0.05.csv,MSE,6.649873549997432
auto_mpg,gaussian,auto_mpg_10000_gaussian_0.05.csv,MAE,2.00365505594121
auto_mpg,gaussian,auto_mpg_10000_gaussian_0.05.csv,MSE,7.714572624276937
auto_mpg,missing,auto_mpg_1000_missing_0.3.csv,MAE,3.3030046358975502
auto_mpg,missing,auto_mpg_1000_missing_0.3.csv,MSE,21.61230895557605
auto_mpg,missing,auto_mpg_1000_missing_0.1.csv,MAE,2.1107375964312483
auto_mpg,missing,auto_mpg_1000_missing_0.1.csv,MSE,8.407043144467595
auto_mpg,missing,auto_mpg_1000_missing_0.5.csv,MAE,4.151616292250783
auto_mpg,missing,auto_mpg_1000_missing_0.5.csv,MSE,29.553930429051274
auto_mpg,missing,auto_mpg_10000_missing_0.5.csv,MAE,3.262931876182556
auto_mpg,missing,auto_mpg_10000_missing_0.5.csv,MSE,17.430788067895588
auto_mpg,missing,auto_mpg_10000_missing_0.1.csv,MAE,2.70590934753418
auto_mpg,missing,auto_mpg_10000_missing_0.1.csv,MSE,14.354510164093082
auto_mpg,missing,auto_mpg_10000_missing_0.3.csv,MAE,2.397005819840865
auto_mpg,missing,auto_mpg_10000_missing_0.3.csv,MSE,12.382971025500423
auto_mpg,missing,auto_mpg_5000_missing_0.5.csv,MAE,3.3196557597110146
auto_mpg,missing,auto_mpg_5000_missing_0.5.csv,MSE,22.619259697995673
auto_mpg,missing,auto_mpg_5000_missing_0.3.csv,MAE,3.048099189334445
auto_mpg,missing,auto_mpg_5000_missing_0.3.csv,MSE,17.612614941152497
auto_mpg,missing,auto_mpg_5000_missing_0.1.csv,MAE,2.454910431967841
auto_mpg,missing,auto_mpg_5000_missing_0.1.csv,MSE,12.917592612260439
